func_module_number	lst
1	GO:0140053;GO:0032543;GO:0006412;GO:0000959;GO:0070129;GO:0062125
3	GO:0007186
4	GO:0007178;GO:0141091;GO:0090092;GO:0030509;GO:0071773;GO:0071772;GO:0071363;GO:0070848;GO:0007167;GO:0060395;GO:0060390;GO:0060391;GO:0090100;GO:0032924;GO:0090101;GO:0090287;GO:0007179;GO:0030510;GO:0071560;GO:0071559;GO:0001501;GO:0045667;GO:0001649;GO:0003197;GO:0030514;GO:0007389;GO:0001503;GO:0032925;GO:0060411;GO:0003002;GO:0045597;GO:0060485;GO:0030501;GO:0003206;GO:0045778;GO:0003279;GO:0070169;GO:0017015;GO:0045669;GO:1903844
6	GO:0009060;GO:0045333;GO:0006119;GO:0015980;GO:0006091;GO:0019646;GO:0042773;GO:0042775;GO:0022900;GO:0022904;GO:0042776;GO:0015986;GO:0006754;GO:0009145;GO:0009206
7	GO:0009755;GO:0009725;GO:0032870;GO:0141193;GO:0032922;GO:0007623;GO:0030522;GO:0000122;GO:0048511;GO:0019216
8	GO:0007596;GO:0050817;GO:0007599;GO:0050878;GO:0042060;GO:0009611;GO:0042730;GO:0030193;GO:1900047;GO:0030195;GO:1900046;GO:0050818;GO:0050819;GO:0061045
9	GO:0016567;GO:0032446;GO:0070647;GO:0043687;GO:0000209
11	GO:0006914;GO:0061919;GO:0016236;GO:0000045;GO:1905037;GO:0007033;GO:0044804;GO:0010506;GO:0042594
12	GO:0010466;GO:0018149;GO:0022617;GO:0030216
13	GO:0002181;GO:0006412;GO:0022613;GO:0042254
14	GO:0009101;GO:0030203;GO:0009100;GO:0006022;GO:1901137;GO:0008589
15	GO:0002224;GO:0002237;GO:0002221;GO:0007249;GO:0002758;GO:0140895;GO:0002833;GO:0009617;GO:0071219;GO:0002831;GO:0002218;GO:0031347;GO:0002752;GO:0045089;GO:0071216;GO:0001817;GO:0001816;GO:0031349;GO:0002220;GO:0045088;GO:0045087;GO:0032103;GO:0050776;GO:0050778;GO:0032479;GO:0032606;GO:0001819;GO:0002253;GO:0002757;GO:0002764;GO:0006954;GO:0032481;GO:0032496;GO:0032608;GO:0032648;GO:0043123;GO:0034142;GO:0043122;GO:0032677;GO:0032637;GO:0071222
16	GO:0140467
17	GO:1905168;GO:0045911;GO:0010569;GO:0051052;GO:2000781;GO:0000018
19	GO:0007264;GO:0032483
20	GO:0000375;GO:0000377;GO:0000398;GO:0006397;GO:0008380;GO:0016071;GO:0000245
21	GO:0030036;GO:0030029;GO:0007015;GO:0097435;GO:0030048;GO:0045010;GO:0110053;GO:0030834;GO:0032970;GO:0030042;GO:1902903;GO:0034314;GO:0044087;GO:0032956
22	GO:0007186;GO:0007188;GO:0007193;GO:0007187;GO:0007189;GO:0007218;GO:0014070;GO:0008277;GO:0071407;GO:0007200;GO:0007212;GO:0099536
23	GO:0006887;GO:0032940;GO:0140352;GO:0046903;GO:0017157;GO:1903530;GO:0060627;GO:0045055;GO:0051046;GO:0009306;GO:0035592;GO:0071692;GO:0006904;GO:0048278;GO:0140029
